time_s,true_error_1,true_error_2,predicted_error_1,predicted_error_2,mode_1,mode_2,impulse
1.28,0.0031978337,-0.0020978905,0.00094519975,-0.005315638,0.0,0.0,0.0
1.3,0.0027490533,-0.0004021084,0.0006026366,-0.005246148,0.0,0.0,0.0
1.32,0.001535563,-0.00041513686,0.0014090991,-0.0029497193,0.0,0.0,1.0
1.34,0.0016100626,-0.00040193292,0.0010829482,-0.0030028122,0.0,0.0,0.0
1.36,0.0010840008,-0.00022986204,0.0007818502,-0.0030549122,0.0,0.0,0.0
1.3800000000000001,0.0011999905,0.00025523244,0.000503798,-0.0031059338,0.0,0.0,0.0
1.4000000000000001,0.0003041163,-0.00035357234,0.00024695077,-0.0031558103,0.0,0.0,0.0
1.42,0.00045380555,-0.0002241463,9.618001e-06,-0.0032044915,0.0,0.0,0.0
1.44,-6.257603e-05,0.0009478428,-0.00023786118,-0.0033086769,0.0,0.0,0.0
1.46,-0.0003384972,0.0010874971,-0.00046684511,-0.0034058702,0.0,0.0,0.0
1.48,-6.8625246e-05,0.0010390851,-0.000678733,-0.0034964774,0.0,0.0,0.0
1.5,0.0001016358,-0.00021180634,-0.0008748106,-0.0035808827,0.0,0.0,0.0
1.52,-0.00029946316,-0.0005407221,-0.0010562706,-0.003659453,0.0,0.0,0.0
1.54,-0.0014436797,0.00028428936,-0.0012242085,-0.0037325358,0.0,0.0,0.0
1.56,-0.0011071237,0.00020556961,-0.0013789331,-0.003799015,0.0,0.0,0.0
1.58,-0.0010942499,0.00010707652,-0.0015214529,-0.0038594215,0.0,0.0,0.0
1.6,-0.0017262872,0.00040842814,-0.001652701,-0.003914247,0.0,0.0,0.0
1.62,-0.0016382101,-0.0005551436,-0.00177354,-0.003963946,0.0,0.0,0.0
1.6400000000000001,-0.0015834677,-0.00039220197,-0.0018847703,-0.004008944,0.0,0.0,0.0
1.6600000000000001,-0.0014570986,-0.0001494906,-0.0019871267,-0.004049632,0.0,0.0,0.0
1.68,-0.0010920571,0.00020806499,-0.0020813106,-0.004086408,0.0,0.0,0.0
1.7,-0.000563587,-0.0003982594,-0.0001334697,-0.0023561667,0.0,0.0,1.0
1.72,-0.00044705506,0.00017990117,-0.000297645,-0.0024796724,0.0,0.0,0.0
1.74,0.0003219197,0.00027508923,-0.00045206433,-0.002595406,0.0,0.0,0.0
1.76,-0.00042172457,-0.00045669926,-0.0005973615,-0.0027038916,0.0,0.0,0.0
1.78,-0.0009834745,-0.00018465251,-0.0007341292,-0.0028056193,0.0,0.0,0.0
1.8,-0.0014460941,-0.00036904105,-0.00086291553,-0.0029010396,0.0,0.0,0.0
1.82,-0.0016989479,-8.557248e-05,-0.001032738,-0.003033825,0.0,0.0,0.0
1.84,-0.0017863901,-0.00017232682,-0.0011915233,-0.0031565023,0.0,0.0,0.0
1.86,-0.0016663615,-0.00027322065,-0.0013399582,-0.003269794,0.0,0.0,0.0
1.8800000000000001,-0.0029728564,-0.00031883508,-0.0014786873,-0.0033743717,0.0,0.0,0.0
1.9000000000000001,-0.0021238748,0.00025381526,-0.0016083117,-0.0034708641,0.0,0.0,0.0
1.92,-0.0006287979,0.0010969972,-0.0017293991,-0.0035598502,0.0,0.0,0.0
1.94,-0.0003637251,0.00013674812,-0.0018413233,-0.0036408086,0.0,0.0,0.0
1.96,-1.4236479e-05,-0.00038077164,-0.0019447282,-0.0037144125,0.0,0.0,0.0
1.98,-0.00025065022,-0.00032916028,-0.0020402148,-0.0037812819,0.0,0.0,0.0
2.0,-0.00071913336,-0.0008207443,-0.002128344,-0.0038419906,0.0,0.0,0.0
2.02,-0.0014070057,-0.00067069207,-0.0022096406,-0.0038970634,0.0,0.0,0.0
2.04,-0.0014674588,-0.00023975651,-0.0022845934,-0.003946986,0.0,0.0,0.0
2.06,-0.00075449515,0.00064376,-0.002353685,-0.0039922292,0.0,0.0,0.0
2.08,-4.992435e-05,0.00022743463,-0.00028996659,-0.00230897,0.0,0.0,1.0
2.1,-0.00035976546,-0.00019751987,-0.00043774513,-0.0024381068,0.0,0.0,0.0
2.12,0.00036018284,-0.00042204402,-0.0005773128,-0.0025589345,0.0,0.0,0.0
2.14,0.0011952083,-0.00010586702,-0.0007091644,-0.0026720269,0.0,0.0,0.0
2.16,0.0006569788,1.674913e-06,-0.00083376374,-0.0027779157,0.0,0.0,0.0
2.18,0.00029244163,-0.00039290433,-0.0009515459,-0.002877091,0.0,0.0,0.0
2.2,-0.00018316074,-0.00065614464,-0.0011135107,-0.0030121082,0.0,0.0,0.0
2.22,-0.00035975545,-0.0008775049,-0.0012651928,-0.0031367727,0.0,0.0,0.0
2.24,-6.0854723e-05,-0.00064202526,-0.001407205,-0.0032518324,0.0,0.0,0.0
2.2600000000000002,-0.0003561783,-0.00056964083,-0.0015401252,-0.0033579818,0.0,0.0,0.0
2.2800000000000002,0.0003814571,-0.0009920727,-0.0016644992,-0.0034558666,0.0,0.0,0.0
2.3000000000000003,0.0003412298,-0.00054868637,-0.0017808399,-0.0035460873,0.0,0.0,0.0
2.32,0.00014816505,-0.0005563121,-0.0018884267,-0.0036281715,0.0,0.0,0.0
2.34,0.00034876366,6.7623325e-05,-0.0019878661,-0.0037028026,0.0,0.0,0.0
2.36,0.0006634914,0.0007177862,-0.0020797257,-0.0037706126,0.0,0.0,0.0
2.38,0.00045605173,0.00045658965,-0.002164535,-0.0038321817,0.0,0.0,0.0
2.4,0.0009248627,-0.00041848962,-0.0022427929,-0.0038880454,0.0,0.0,0.0
